ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ : Ûéú ̄ÖμÖÖ ‡®ÖÛêú †®Öã ̄Öæ ̧üÛú  ̄ÖÏ¿®Ö ÛúÖ ˆ¢Ö ̧ü ¤üß×•Ö‹...	श्री उपसभाषति : देखिए।...(व्यवधान)...कुछ भी अभिलिखित नहीं होगा। यह नहीं
ÃÖÛúŸÖê Æïü, ÃÖ2ÖÛúÖê ®ÖÆüà...	श्री उपसभापषति : वे ऐग्जामिन करेंगे।
ÁÖß ŸÖÖ× ̧üÞÖß ÛúÖÓŸÖ  ̧üÖμÖ : 3ÖÖ ̧üŸÖ  ́Öë Æü ́ÖÖ ̧üÖ ˆŸ ̄ÖÖ¤ü®Ö 2ÖœÍü  ̧üÆüÖ Æîü •Ö2Ö×Ûú “ÖÖμÖ Ûêú õÖê¡Ö	श्री अमर सिंह : यह हिन्दी का अपमान है।
́Öë Æü ́ÖÖ ̧üß 3⁄4Öî×¿3⁄4ÖÛú ×ÆüÃÃÖê¤üÖ ̧üß Ûú ́Ö ÆüÖê  ̧üÆüß Æîü...	श्री एस.एस. अहलुवालिया : आप तो हिन्दी के संरक्षक हैं और संरक्षक होकर
ÁÖß Ûú ́Ö»Ö ®ÖÖ£Ö :  ́ÖÆüÖê¤üμÖ,  ́Öï Ûêú3⁄4Ö»Ö ‡ÃÖß 2ÖÖŸÖ Ûúß  ̄Öã×ÂTMü Ûú ̧ü ÃÖÛúŸÖÖ ÆæÓü •ÖÖê ÃÖ¤üÃμÖ	..व्यवधान)...
́ÖÆüÖê¤üμÖ ÛúÆü  ̧üÆêü Æïü ×Ûú Æü ́ÖÖ ̧üß ×ÆüÃÃÖê¤üÖ ̧üß  ́Öë Ûú ́Öß †Ö  ̧üÆüß Æîü... •ÖîÃÖÖ×Ûú  ́Öï®Öê ÛúÆüÖ ×Ûú	डा. कुमकुम राय : सर, एक महिला मैम्बर अपना क्वेश्चन पूछने के लिए खडी
μÖÆü 50 Ûêú ¤ü¿ÖÛú  ́Öë 50  ̄ÖÏ×ŸÖ¿ÖŸÖ £ÖÖ †Öî ̧ü μÖÆü ×3⁄4Ö¿3⁄4Ö ˆŸ ̄ÖÖ¤ü®Ö ÛúÖ »ÖÝÖ3ÖÝÖ 12  ̄ÖÏ×ŸÖ¿ÖŸÖ	है, महिला मैस्बर को सवाल पूछने का मौका दिया जाए...(व्यवधान)...
̧üÆü ÝÖμÖÖ Æîü... Æü ́ÖÖ ̧êü ˆŸ ̄ÖÖ¤ü®Ö Ûêú Ûêú3⁄4Ö»Ö 12  ̄ÖÏ×ŸÖ¿ÖŸÖ ÛúÖ ×®ÖμÖÖÔŸÖ ×ÛúμÖÖ •ÖÖŸÖÖ Æîü... μÖ×Æü 3⁄4ÖÆü	श्री उपसभापति : अहलुवालिया जी, अगर गलती हुई है तो उसको सुधारेंगे,
×3⁄4Ö“ÖÖ ̧üÞÖßμÖ ×2Ö®¤ãü Æîü ×•ÖÃÖÛúÖ ×•ÖÃÖ  ̄Ö ̧ü Æü ́Öë ÃÖÖê“Ö®ÖÖ Æîü ×Ûú Æü ́Ö ‡ÃÖÛúÖê ÛîúÃÖê 2ÖœÍüÖμÖÖ •ÖÖμÖê...	देखेंगे। वे देखेंगे। क्वेश्चन नं. 143 |
‹Ûú  ́Öî ́2Ö ̧ü Æüß  ̄Öæ ̧üß † ̄ÖÖò“ÖãÔ×®ÖTMüß »Öê »Öê, ŸÖÖê  ́ÖãôÖê ÛúÖê‡Ô †Ö ̄Ö×¢Ö ®ÖÆüà Æîü,  ́ÖãôÖê ÛúÖê‡Ô †Ö ̄Ö×¢Ö	पर राज्य सरकारों को सुग्राही बनाती रही है। इसके अलावा, आतंकवाद के विश्वव्यापी
®ÖÆüà Æîü... μÖ×¤ü ÃÖ ́ÖÃŸÖ ÃÖ3ÖÖ μÖÆü ×®ÖÞÖÔμÖ »ÖêŸÖß Æîü ×Ûú †Öî ̧ü †®Öã ̄Öæ ̧üÛú  ̄ÖÏ¿®Ö ®ÖÆüà  ̄Öæ”êû •ÖÖ‹Ó,	आयाम को देखते हुए इसके खतरे से निपटने के लिए द्विपक्षीय/बहु-पक्षीय सहयोग प्राप्त
ŸÖÖê  ́Öï ‡ÃÖÛúß †®Öã ́Ö×ŸÖ ¤êü ¤æÓüÝÖÖ...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...‡ÃÖ×»Ö‹  ́Öï †Ö ̄ÖÃÖê × ̧üŒ3⁄4ÖêÃTMü Ûú ̧ü  ̧üÆüÖ ÆæÓü ×Ûú	करने हेतु आवश्यक तंत्र मौजूद हैं।
†Ö ̄Ö ÃÖ3⁄4ÖÖ»Ö  ̄Öæ×”û‹, †Ö ̄Ö ¤æüÃÖ ̧üÖë ÛúÖ TMüÖ‡ ́Ö •ÖÖμÖÖ  ́ÖŸÖ Ûúß×•Ö‹...  ̄»Öß•Ö ÃÖ3⁄4ÖÖ»Ö  ̄Öæ×”û‹...	(घ) सरकार ने तटीय गश्त और चौकसी को सुदृढ बनाने के लिए हाल में तटीय
›üÖ.  ́Öã ̧ü»Öß  ́Ö®ÖÖêÆü ̧ü •ÖÖê¿Öß : ‹ÛúÖ¬Ö × ́Ö®ÖTMü ‹êÃÖÖ ÆüÖêŸÖÖ Æîü, ˆÃÖÛúÖ ŸÖÖê ¬μÖÖ®Ö  ̧üÜÖ®ÖÖ	सुरक्षा योजना का अनुमोदन किया है ताकि समुद्री मार्ग से आतंकवाद या अवैध गतिविधियों
Æüß “ÖÖ×Æü‹...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...	को पहले से ही रोका और नियंत्रित किया जा सके।
ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ :  ́Öï 3Öß μÖÆü 2ÖÖŸÖ ÃÖ ́ÖôÖŸÖÖ ÆæÓü ×Ûú ‹Ûú-¤üÖê × ́Ö®ÖTMü ‹êÃÖÖ ÆüÖêŸÖÖ Æîü,	श्री रुद्रनारायण पाणि : उपसभापति जी, और कुछ हो न हो, हमारे गृह मंत्री जी
»Öê×Ûú®Ö †Ö ̄Ö ÛúÆüà •ÖÖ‹ÓÝÖê, †Ö ̄Ö ˆ®ÖÛúß 2ÖÖŸÖÖë  ̄Ö ̧ü ÝÖÖî ̧ü Ûú ̧üÛêú  ́ÖãôÖê •Ö3⁄4ÖÖ2Ö ¤üß×•Ö‹...	ज्ञानी हैं। महोदय, हमारे गृह मंत्री जी ज्ञानी हैं...(व्यवधान)
ÁÖß 1ý¦ü®ÖÖ ̧üÖμÖÞÖ  ̄ÖÖ×ÞÖ :  ́ÖÆüÖê¤üμÖ, †Ö ̄Ö ÃÖ2Ö 2Ö›Íêü-2Ö›Íêü »ÖÖêÝÖ Æïü... 2Öß“Ö  ́Öë ÃÖ2Ö »ÖÖêÝÖ	श्री उपसभाषति : आप पूछिए ना....(व्यवधान)
2ÖÖê»Öê...  ́ÖÖ®μÖ3⁄4Ö ̧ü,  ́Öê ̧üÖ ×®ÖÙ¤üÂTMü  ̄ÖÏ¿®Ö μÖÆü Æîü ×Ûú  ̧üÖ•Ö®Öß×ŸÖ ÃÖê ‰ú ̄Ö ̧ü ˆšü Ûú ̧ü ÝÖéÆü  ́ÖÓ¡Öß	श्री रुद्रनारायण पाणि : पूछू गा ।
́ÖÆüÖê¤üμÖ ˆ®Ö  ̧üÖ•μÖÖë  ́Öë ×ÛúŸÖ®Öß 2ÖÖ ̧ü 2ÖîšüÛú Ûú ̧ü  ̧üÆêü Æïü, •ÖÆüÖÓ  ̄Ö ̧ü Ûêú®¦ü Ûêú  ̧üÖ•Ö®Öß×ŸÖÛú	श्री उपसभाषति : आप पहले सवाल पूछिए, बाद में तारीफ कीजिए।
¤ü¿ÖÔ®Ö Ûêú †»ÖÖ3⁄4ÖÖ ¤æüÃÖ ̧üß  ̧üÖ•Ö®Öß×ŸÖÛú ¤ü¿ÖÔ®Ö Ûúß  ̄ÖÖTMüá ÃÖ ̧üÛúÖ ̧ü  ́Öë Æîü?	श्री रुद्रनारायण पाणि : महोदय, हम जब कॉलेज में थे...(व्यवधान)...
ÁÖß ×¿Ö3⁄4Ö ̧üÖ•Ö 3⁄4Öß.  ̄ÖÖ×TMü»Ö : ÁÖß ́Ö®ÖË, ˆ®ÆüÖë®Öê μÖÆü 2ÖÆãüŸÖ †“”ûÖ  ̄ÖÏ¿®Ö  ̄Öæ”ûÖ Æîü,  ́Öï	श्री विक्रम वर्मा : ये पानी हैं और वे ज्ञानी हैं।
‡ÃÖÛúÖ •Ö3⁄4ÖÖ2Ö ¤êü®ÖÖ “ÖÖÆæÓüÝÖÖ... •ÖÆüÖÓ ŸÖÛú 3⁄4μÖ×ŒŸÖÝÖŸÖ oþ ̄Ö  ́Öë  ́Öê ̧üÖ  ̄ÖÏ¿®Ö Æîü, ¿ÖÖμÖ¤ü ˆÃÖÛúÖê	श्री रुद्रनारायण पाणि : महोदय, हम जब कॉलेज में थे...(व्यवधान)
‹»ÖÖ‰ú ®ÖÆüà ×ÛúμÖÖ •ÖÖ‹, ˆÃÖÛúÖ •Ö3⁄4ÖÖ2Ö ¤êü®Öê Ûúß •Öoþ ̧üŸÖ ®ÖÆüà Æîü...  ́Öï ÛúÆü®ÖÖ “ÖÖÆæÓüÝÖÖ ×Ûú	श्री उपसभाषति : अब वह कॉलेज की बात छोड्रिए, आप सवाल पूछिए।
•ÖÆüÖÓ  ̄Ö ̧ü 3Öß ‹êÃÖê ÆüÖ¤üÃÖê ÆüÖê  ̧üÆêü Æïü, 3⁄4ÖÆüÖÓ Ûêú  ́ÖãÜμÖ ́ÖÓ×¡ÖμÖÖë ÛúÖê 2Öã»ÖÖ Ûú ̧ü  ̄ÖÏ¬ÖÖ®Ö ́ÖÓ¡Öß •Öß Ûêú	श्री रुद्रनारायण पाणि : हम जब कॉलेज में थे, तो हमारे गृह समंत्री साइंस
ÃÖÖ£Ö, ÆüÖê ́Ö × ́Ö×®ÖÃTMü ̧ü Ûêú ÃÖÖ£Ö, Æü ́ÖÖ ̧êü •ÖÖê ¤æüÃÖ ̧êü †×¬ÖÛúÖ ̧üß Æïü, ˆ®ÖÛêú ÃÖÖ£Ö 2Öîšü Ûú ̧ü “Ö“ÖÖÔ	मिनिस्टर थे। * से आज वे गृह मंत्री हैं...(व्यवधान)
Ûúß ÝÖ‡Ô Æîü... ‡ŸÖ®ÖÖ Æüß ®ÖÆüà, Æü ̧ü  ̄ÖÏÖ®ŸÖ  ́Öë, Æü ̧ü × ̧ü•Ö®Ö  ́Öë •ÖÖê × ̧ü•Ö®Ö»Ö ÛÓú±êú ̧ëüÃÖê•Ö ÆüÖêŸÖß Æïü,	श्री उपसभापति : यह नहीं जाएगा...(व्यवधान) मैंने इसको हटा दिया है।...(व्यवधान)...
3⁄4ÖÆüÖÓ  ̄Ö ̧ü  ́ÖãÜμÖ ́ÖÓ×¡ÖμÖÖë ÛúÖê 2Öã»ÖÖ Ûú ̧ü ˆÃÖÛêú ‰ú ̄Ö ̧ü “Ö“ÖÖÔ Ûúß ÝÖ‡Ô Æîü... ”û¢ÖßÃÖÝÖœÍü ÆüÖê μÖÖ	श्री रुद्रनारायण पाणि : आज बंगलौर में साइंटिस्ट को मारा जाता है...(व्यवधान)...
ôÖÖ ̧üÜÖÓ›ü ÆüÖê μÖÖ ×2ÖÆüÖ ̧ü ÆüÖê μÖÖ  ́Ö¬μÖ  ̄ÖÏ¤êü¿Ö ÆüÖê μÖÖ Ûú®ÖÖÔTMüÛú ÆüÖê, 3⁄4ÖÆüÖÓ  ̄Ö ̧ü ÜÖã¤ü •ÖÖÛú ̧ü  ́Öï®Öê	श्री उपसभापति : आप सवाल पूछिए ना...(व्यवधान)
ˆ®Ö »ÖÖêÝÖÖë ÃÖê “Ö“ÖÖÔ 3Öß Ûúß Æãü‡Ô Æîü... •Ö2Ö 3Öß ÛúÖê‡Ô ‹êÃÖê ÆüÖ¤üÃÖê ÆüÖêŸÖê Æïü, ŸÖÖê Æü ́Ö ˆ®ÖÛúÖê	श्री रुद्रनारायण पाणि : आज दुर्भाग्य से साइंटिस्ट को मारा जाता है। यह अत्यंत
•ÖÖÛú ̧ü μÖÆü 2ÖŸÖÖ ¤êüŸÖê Æïü †Öî ̧ü ˆ®ÖÛêú ÃÖÖ£Ö “Ö“ÖÖÔ ÆüÖê •ÖÖŸÖß Æîü... Æü ́Ö μÖÆü ®ÖÆüà ¤êüÜÖŸÖê Æïü ×Ûú	मार्मिक विषय है, इसको हंसी-मजाक में नहीं लेना चाहिए। यह अत्यंत मार्मिक विषय है
†Ö•Ö ”û¢ÖßÃÖÝÖœÍü  ́Öë Ûãú”û ÆüÖê ÝÖμÖÖ, ŸÖÖê 3⁄4ÖÆüÖÓ  ̄Ö ̧ü ‹Ûú ¤æüÃÖ ̧êü  ̄ÖÏÖ®ŸÖ Ûúß ÃÖ ̧üÛúÖ ̧ü Æîü... ˆÃÖÛêú	कि साइंटिस्ट को मारा जाता है। साइंटिस्ट को मारने का क्या कारण है, मंत्री जी ने
×»Ö‹ μÖÆüÖÓ †ÖÛú ̧ü ÃÖ¤ü®Ö  ́Öë ÛúÆü ¤ëü ×Ûú ŸÖã ́Ö®Öê ÝÖ»ÖŸÖß Ûúß, ŸÖã ́Ö®Öê μÖÆü ×ÛúμÖÖ, ŸÖã ́Ö®Öê 3⁄4ÖÆü	इसका उत्तर विस्तार से दिया है, लेकिन वे इसकी प्रिंटिंग को नहीं देखते हैं। हिन्दी में
×ÛúμÖÖ, Æü ́Ö®Öê  ́ÖÖ»Öæ ́ÖÖŸÖ ¤üß, ˆÃÖÛúÖ ‡ÃŸÖê ́ÖÖ»Ö ®ÖÆüà ×ÛúμÖÖ... Æü ́Ö ‡ÃÖ  ̄ÖÏÛúÖ ̧ü ÃÖê ÛúÖ ́Ö ®ÖÆüà	जो उत्तर दिया गया है, उसकी प्रिंटिंग ठीक से नहीं हुई है। यह मामला कोई कम
Ûú ̧üŸÖê Æïü... †ÝÖ ̧ü μÖÆüÖÓ  ̄Ö ̧ü ‡ÃÖ  ̄ÖÏÛúÖ ̧ü ÃÖê ÛúÖ ́Ö ÆüÖê  ̧üÆüÖ Æîü...ŸÖÖê ×•ÖÃÖ  ̄ÖÏÖÓŸÖ  ́Öë μÖê ‘ÖTMü®ÖÖ‹Ó	गंभीर नहीं है। हम पढ नहीं पाते हैं।
ÆüÖê  ̧üÆüß Æïü, ˆÃÖ  ̄ÖÏÖÓŸÖ Ûúß ÃÖ ̧üÛúÖ ̧ü ÛúÖê  ̄ÖÆü»Öê •Ö3⁄4ÖÖ2Ö ¤êü®ÖÖ  ̄Ö›ÍêüÝÖÖ †Öî ̧ü ¤æüÃÖ ̧üß •ÖÝÖÆü  ̄Ö ̧ü	श्री उपसभापषति : हम इसे देखेंगे ।
‡ÃÖ  ̧üÖÂTMÒü Ûúß ÃÖ ̧üÛúÖ ̧ü ÛúÖê •Ö3⁄4ÖÖ2Ö ¤êü®ÖÖ  ̄Ö›ÍêüÝÖÖ... μÖÆü ®ÖÆüà ÃÖ ́ÖôÖŸÖê Æãü‹  ̄ÖÖò×»Ö×TMüŒÃÖ Ûú ̧ü®Öê Ûêú	श्री रुद्रनारायण पाणि : उपसभापति जी, मेरा यह कहना है कि जो-जो कारण
×»Ö‹  ̄ÖÖTMüá Ûêú ×ÜÖ»ÖÖ±ú μÖÖ 3⁄4μÖ×ŒŸÖ Ûêú ×ÜÖ»ÖÖ±ú †ÝÖ ̧ü †Ö ̄Ö  ̄ÖÏ¿®Ö  ̄Öæ”ûŸÖê •ÖÖ‹ÓÝÖê †Öî ̧ü ˆÃÖÛúÖ	मंत्री जी ने बताए हैं और कहा है कि हम ये-ये करने जा रहे हैं, लेकिन इस प्रकार
ˆ¢Ö ̧ü ¤êü®Öê Ûêú ×»Ö‹ ÃÖß×®ÖμÖ ̧ü  ́Öë2Ö ̧ü 3Öß ˆšüÛú ̧ü ˆÃÖÛúß 3⁄4ÖÛúÖ»ÖŸÖ Ûú ̧ëüÝÖê ŸÖÖê 3⁄4ÖÆü ÛúÆüÖÓ ŸÖÛú	*अभिलिखित नहीं किया गया।
¤ãü1ýÃŸÖ ÆüÖêÝÖÖ? μÖÆü †Ö ̄Ö šüÆü ̧üÖ3⁄4Ö Ûúß×•Ö‹ †Öî ̧ü †Ö ̄Ö •ÖîÃÖÖ šüÆü ̧üÖ3⁄4Ö Ûú ̧ëüÝÖê,  ́Öï  ́ÖÖ®Ö®Öê Ûêú ×»Ö‹	यूनियन के महासचिव यहां बैठे हैं - कि जब चाय बागानों में उत्पादन, उत्पादकता और
ŸÖîμÖÖ ̧ü ÆæÓü...	श्रम समस्याओं से संबंधित मुद्दे सामने आयें, तो पांच प्रमुख आल इंडिया सेंट्रल ट्रेड
μÖÆü 3Öß ˆ»»ÖêÜÖ ×ÛúμÖÖ ÝÖμÖÖ Æîü ×Ûú μÖê •ÖÖ®ÖŸÖê Æïü ×Ûú ×3⁄4Ö¿3⁄4Ö 2ÖÖ•ÖÖ ̧ü  ́Öë ×ÆüÃÃÖê¤üÖ ̧üß Ûú ́Ö ÆüÖê	यूनियंस को बुलाया जाना चाहिए। तब दक्षिणी भारत और उत्तरी भारत का मुद्दा नहीं
̧üÆüß Æîü... »Öê×Ûú®Ö μÖÆü ÛúÆü®ÖÖ ×Ûú 3ÖÖ ̧üŸÖ  ́Öë “ÖÖμÖ ÛúÖ 2ÖÖ•ÖÖ ̧ü 2ÖœÍü  ̧üÆüÖ Æîü, ÛúÖê‡Ô  ́ÖÖμÖ®Öê ®ÖÆüà	उठेगा। मेरे विचार से, प्रमुख जोखिम धारक के रूप में, पांच केन्द्रीय ट्रेड यूनियंस को
̧üÜÖŸÖÖ...  ̄ÖÏ¿®Ö μÖÆü Æîü ×Ûú Æü ́Ö ÛîúÃÖê ×3⁄4Ö¿3⁄4Ö 2ÖÖ•ÖÖ ̧ü  ́Öë ×ÆüÃÃÖê¤üÖ ̧üß 2ÖœÍüÖ‹Ó ŒμÖÖë×Ûú μÖÆü ‘ÖTMüŸÖÖ	चाय बागानों से संबंधित इन विशेष मुद्दों पर, न केवल उनके पारिश्रमिक के संबंध में
•ÖÖ  ̧üÆüÖ Æîü...  ́ÖÆüÖê¤üμÖ, μÖ×¤ü †Ö ̄Ö × ̧üÛúÖ›Ôü ¤êüÜÖë ŸÖÖê  ̄ÖÖμÖëÝÖê ×Ûú ÁÖß»ÖÓÛúÖ, “Öß®Ö, Ûúß×®ÖμÖÖ †Ö×¤ü	बल्कि साथ ही उत्पादन, उत्पादकता के बारे में भी और सब कुछ के बारे में चर्चा करने
•ÖÖê ×Ûú ‡ÃÖ õÖê¡Ö  ́Öë ®ÖμÖê Æïü, 3⁄4Öê 3Öß  ̄ÖÏ×ŸÖ3⁄4ÖÂÖÔ † ̄Ö®Öß ×ÆüÃÃÖê¤üÖ ̧üß ÛúÖê 2ÖœÍüÖ  ̧üÆêü Æïü...	के लिए बुलाया जाना चाहिए। मैं नहीं जानता कि उनको क्यों नहीं बुलाया गया है |
ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ : Ûéú ̄ÖμÖÖ † ̄Ö®ÖÖ  ̄ÖÏ¿®Ö  ̄Öæ×”û‹...	श्री कमल नाथ : महोदय, मैं माननीय सदस्य को सुचित करना चाहता हूं कि मैंने
ÁÖß ÃÖÓŸÖÖêÂÖ 2ÖÖÝÖ›ÍüÖê×¤üμÖÖ : Æü ́ÖÖ ̧üß  ̄Ö ̧ü ́ ̄Ö ̧üÖÝÖŸÖ 3ÖÖ ̧üŸÖßμÖ “ÖÖμÖ ÛúÖ ×®ÖμÖÖÔŸÖ Ûú ́Ö ÆüÖê	पहली बार अंशधारियों का सम्मेलन आयोजित किया जिसका प्रतिनिधित्व ट्रेड यूनियनों,
̧üÆüÖ Æîü... ÃÖ ̧üÛúÖ ̧ü Ûúß  ̧üÖ•Ö®Öß×ŸÖ  ̄Ö ̧ü ́ ̄Ö ̧üÖÝÖŸÖ “ÖÖμÖ ÛúÖê ®Ö Ûêú3⁄4Ö»Ö oþÃÖ  ́Öë ¤ãü2ÖÖ ̧üÖ †Ö ̧ü ́3Ö Ûú ̧ü®Öê	चाय उत्पादकों और चाय उद्योग के समूचे स्पेक्ट्रम ट्वारा किया गया जिसमें ट्रेड यूनियन
Ûúß Æîü 2Ö×»Ûú ˆ®Ö ¤êü¿ÖÖë  ́Öë 3Öß Æîü •ÖÖê ÃÖÖê×3⁄4ÖμÖŸÖ ÃÖÓ‘Ö ÃÖê †»ÖÝÖ Æãü‹ Æïü †Öî ̧ü †×¬ÖÛú	भी शामिल हुए।
̄ÖÏ3ÖÖ3⁄4Ö¿ÖÖ»Öß œÓüÝÖ ÃÖê †®μÖ 2ÖÖ•ÖÖ ̧ü œæÓüœ »ÖêŸÖê Æïü ŒμÖÖë×Ûú ÃÖß¬Öê-ÃÖß¬Öê ‡®Ö “Öß•ÖÖë ÃÖê ÛúÖ ́Ö ®ÖÆüà	श्री दीपांकर मुखर्जी : मंत्री महोदय, मैं आल इंडिया ट्रेड युनियन का सचिव हूं |
ÆüÖê®Öê 3⁄4ÖÖ»ÖÖ Æîü...	ये आल इंडिया ट्रेड यूनियन के महासचिव हैं। मैं आपको कह रहा हूं कि यह अपनी
ÁÖß Ûú ́Ö»Ö ®ÖÖ£Ö :  ́ÖÆüÖê¤üμÖ,  ́ÖÖ®Ö®ÖßμÖ ÃÖ¤üÃμÖ ÃÖÆüß ÛúÆü  ̧üÆêü Æïü ×Ûú 1950  ́Öë	मर्जी से बुलाने का मामला था। आपको पांचों केन्द्रीय ट्रेड यूनियनों को बुलाना चाहिए
̄Ö ̧ü ́ ̄Ö ̧üÖÝÖŸÖ “ÖÖμÖ ÛúÖ ˆŸ ̄ÖÖ¤ü®Ö 2ÖÆãüŸÖ †×¬ÖÛú £ÖÖ †Öî ̧ü †2Ö ‘ÖTMüÛú ̧ü »ÖÝÖ3ÖÝÖ 10  ̄ÖÏ×ŸÖ¿ÖŸÖ ŸÖÛú	था। यदि एक बार आप उनको आमंत्रित करेंगे तो वे अपने प्रतिनिधि भेज देंगे। आप
̧üÆü ÝÖμÖÖ Æîü... ‹êÃÖÖ ‡ÃÖ×»Ö‹ ×Ûú 3ÖÖ ̧üŸÖßμÖÖë Ûúß oþ×“Ö  ̄Ö ̧ü ́ ̄Ö ̧üÖÝÖŸÖ “ÖÖμÖ Ûúß ŸÖã»Ö®ÖÖ  ́Öë	अपनी मनमानी नहीं कर सकते।
ÃÖß.TMüß.ÃÖß. “ÖÖμÖ  ́Öë †×¬ÖÛú Æîü...  ́ÖÆüÖê¤üμÖ, Ûúß×®ÖμÖÖ, ÁÖß»ÖÓÛúÖ †Ö×¤ü •ÖîÃÖê †®μÖ ¤êü¿ÖÖë  ́Öë	श्री कमल नाथ : सहोदय, अपनी मर्जी से चुनने की कोई बात नहीं है। हम यह
ˆŸ ̄ÖÖ¤ü®Ö 2ÖœÍü®Öê Ûêú ÛúÖ ̧üÞÖ, ®Ö Ûêú3⁄4Ö»Ö ÃÖ3Öß  ̄ÖÏÛúÖ ̧ü Ûúß “ÖÖμÖÖë ÛúÖ ×®ÖμÖÖÔŸÖ ×ÆüÃÃÖÖ 2Ö×»Ûú ‡ÃÖ ́Öë	अवश्य मानते हैं कि यूनियनों के ट्वारा प्रतिनिधित्व किए जाने वाले श्रमिकों का इसमें
3Öß Æü ́ÖÖ ̧üÖ ×®ÖμÖÖÔŸÖ ×ÆüÃÃÖÖ Ûú ́Ö ÆüÖêŸÖÖ •ÖÖ  ̧üÆüÖ Æîü...  ́ÖÆüÖê¤üμÖ, ‡ÃÖÛúÖ ¬μÖÖ®Ö  ̧üÜÖŸÖê Æãü‹,	हिस्सा है। इसमें कोई संदेह नहीं है। उनकी इसमें भूमिका है। मुझे यह याद नहीं आता
×3⁄4Ö¿ÖêÂÖÛú ̧ü Æü ̧üß  ̄Ö ̧ü ́ ̄Ö ̧üÖÝÖŸÖ “ÖÖμÖ Ûêú ˆŸ ̄ÖÖ¤ü®Ö Ûêú ×»Ö‹ 1 •Ö®Ö3⁄4Ö ̧üß, 2005 ÃÖê 31  ́ÖÖ“ÖÔ,	कि उनके यूनियन की ओर से कोई भी व्यक्ति उपस्थित था। जहां तक मुझे याद है,
2007 Ûúß †3⁄4Ö×¬Ö Ûêú ×»Ö‹, 13 •Öæ®Ö, 2005 ÛúÖê ‹Ûú μÖÖê•Ö®ÖÖ Ûúß  ́ÖÓ•Öæ ̧üß ¤üß ÝÖ‡Ô ×•ÖÃÖ ́Öë	तीन से चार ट्रेड यूनियनों का प्रतिनिधित्व किया गया था। और, मेरे विचार से, उनमें से
ÝÖŸÖ 3⁄4ÖÂÖÔ ÃÖê ˆŸ ̄ÖÖ¤ü®Ö Ûúß  ̄ÖÏ3ÖÖ3⁄4ÖÛúÖ ̧üß  ́ÖÖ¡ÖÖ Ûêú ×»Ö‹ 2 1ý ̄Ö‹  ̄ÖÏ×ŸÖ ×Ûú»ÖÖêÝÖÏÖ ́Ö Ûêú †×ŸÖ× ̧üŒŸÖ	एक आपके अपने ट्रेड यूनियन का प्रतिनिधि था। मुझे यह इसलिए याद है क्योंकि उन्होंने
̄ÖÏÖêŸÃÖÖÆü®Ö ÃÖ×ÆüŸÖ,  ̄Ö×¢ÖμÖÖë 3⁄4ÖÖ»Öß “ÖÖμÖ Ûêú ×»Ö‹ 3 1ý ̄Ö‹  ̄ÖÏ×ŸÖ ×Ûú»ÖÖêÝÖÏÖ ́Ö †Öî ̧ü “ÖæÞÖÔ 3⁄4ÖÖ»Öß “ÖÖμÖ	मेरे साथ चर्चा की थी। विचार यह था कि सबको सबके सामने सब कुछ कहना चाहिए।
Ûêú ×»Ö‹ 2 1ý ̄Ö‹  ̄ÖÏ×ŸÖ ×Ûú»ÖÖêÝÖÏÖ ́Ö Ûúß  ̧üÖ•ÖÃÖÆüÖμÖŸÖÖ ÃÖ× ́ ́Ö×»ÖŸÖ Æîü... ‡ÃÖ  ̄ÖÏÛúÖ ̧ü,  ̄ÖÏ3ÖÖ3⁄4ÖÛúÖ ̧üß	लेकिन, मैं निश्चित रूप से दीपांकर जी ने जो कहा है, उसकी छानबीन करूंगा। इस
ˆŸ ̄ÖÖ¤ü®Ö ÛúÖê 3Öß  ̄ÖÏÖêŸÃÖÖ×ÆüŸÖ ×ÛúμÖÖ •ÖÖŸÖÖ Æîü... ‡ÃÖÛúß Ã£ÖÖ ̄Ö®ÖÖ †×ŸÖ× ̧üŒŸÖ ˆŸ ̄ÖÖ¤ü ¿Öã»Ûú ÃÖê Ûúß	समय, हम निर्यातों पर ध्यान दे रहे हैं। लागत कारक के संबंध में, मैं कोलकाता गया
ÝÖ‡Ô Æîü ×•ÖÃÖÛúÖê 3⁄4ÖÖÃŸÖ3⁄4Ö  ́Öë 2ÖÖ¤ü  ́Öë 3⁄4ÖÖ ̄ÖÃÖ »Öê ×»ÖμÖÖ ÝÖμÖÖ £ÖÖ... »Öê×Ûú®Ö ×•ÖÃÖ ×®Ö×¬Ö ÛúÖê	और वहां माननीय मुख्य मंत्री के साथ इस पर चर्चा की। यह बहुत महत्वपूर्ण है कि इन
†×ŸÖ× ̧üŒŸÖ ˆŸ ̄ÖÖ¤ü ¿Öã»Ûú ÃÖê ‹Ûú¡Ö ×ÛúμÖÖ ÝÖμÖÖ Æîü, ˆÃÖÛúÖê  ́ÖÓ•Öæ ̧üß ¤êü ¤üß ÝÖ‡Ô Æîü †Öî ̧ü ˆÃÖÛúÖê	चाय बागानों को एक अच्छी अवस्था में लाया गया है। इन अंशधारियों के सम्मेलन में,
